"","","","","","","","","","","","",""
"№","Namunalar","Qatlam sm","Ekin turi","Mexanik tarkibi % da","Mexanik tarkibi nomi","Es    mS/sm","Sho’rlanish darajasi","pH            ","Muhiti","Gumus  %","Harakatchan, P2O5 mg/ kg","Almashinuvchan, K2O mg/kg"
"1","5 ga maydon","0-30","G’alla","32.2","O’rta qumoq","0.019","sho’rlanmagan","7.46","kuchsiz ishqoriy","0.88","5.2","101"
"2","","30-60","","33.8","O’rta qumoq","0.024","sho’rlanmagan","7.24","kuchsiz ishqoriy","0.67","4.8","111"
"3","10 ga maydom 1.1","0-30","Tok","32.7","O’rta qumoq","0.044","sho’rlanmagan","7.42","kuchsiz ishqoriy","0.83","5.4","118"
"4","","30-60","","33.5","O’rta qumoq","0.021","sho’rlanmagan","7.49","kuchsiz ishqoriy","0.52","4.1","107"
"5","10 ga maydom 1.2","0-30","Tok","35.4","O’rta qumoq","0.055","sho’rlanmagan","7.15","kuchsiz ishqoriy","0.93","5.5","138"
"6","","30-60","","33","O’rta qumoq","0.033","sho’rlanmagan","7.14","kuchsiz ishqoriy","0.67","4.5","104"
"7","18 ga maydon 1.1","0-30","Tok","31.1","O’rta qumoq","0.034","sho’rlanmagan","7.07","kuchsiz ishqoriy","0.83","36","346"
"8","","30-60","","31.4","O’rta qumoq","0.031","sho’rlanmagan","7.02","kuchsiz ishqoriy","0.62","9.5","135"
"9","18 ga maydon 1.2","0-30","Tok","34.8","O’rta qumoq","0.038","sho’rlanmagan","7.33","kuchsiz ishqoriy","0.78","5.5","157"
"10","","30-60","","35","O’rta qumoq","0.026","sho’rlanmagan","7.41","kuchsiz ishqoriy","0.57","5.2","138"
"11","18 ga maydon 1.3","0-30","Tok","36.1","O’rta qumoq","0.046","sho’rlanmagan","7.19","kuchsiz ishqoriy","0.93","5.6","160"
"12","","30-60","","33.9","O’rta qumoq","0.027","sho’rlanmagan","7.45","kuchsiz ishqoriy","0.62","16.5","342"
"13","18 ga maydon 1.4","0-30","Tok","32","O’rta qumoq","0.024","sho’rlanmagan","7.61","kuchsiz ishqoriy","0.78","5.6","236"
"14","","30-60","","34.6","O’rta qumoq","0.017","sho’rlanmagan","7.38","kuchsiz ishqoriy","0.62","5.4","185"
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
